date,individual,foreign,institution
20230329,-3339,247,3283
20230330,-1115,2637,-4289
20230331,-7217,6840,369
20230403,4862,-1624,-3412
20230404,806,-3108,2142
20230405,-2763,-186,3012
20230406,9561,-4879,-4981
20230407,-10164,6934,2863
20230410,-6736,7295,-283
20230411,-4916,1835,2948
20230412,-1088,2335,-1467
20230413,-1805,-3464,4976
20230414,-4364,1670,2614
20230417,3378,-135,-3240
20230418,3635,3913,-7101
20230419,-385,-72,448
20230420,-875,1567,-758
20230421,-1949,2801,-841
20230424,-828,-368,1043
20230425,-23,86,1
20230426,2219,-914,-1550
20230427,1868,2826,-4851
20230428,1360,3005,-3551
20230502,-5545,3421,2285
20230503,3485,-906,-2633
20230504,2267,406,-2694
20230508,-6981,2504,4494
20230509,-1774,1159,636
20230510,59,1171,-1111
20230511,-849,0,848
20230512,3577,-2479,-1066
20230515,-1029,-526,1449
20230516,-1281,2285,-575
20230517,-3318,1648,1574
20230518,-4466,5361,-817
20230519,-11008,5549,5582
20230522,-7879,2958,5330
20230523,-3384,-539,3994
20230524,1331,460,-1854
20230525,3832,2261,-6145
20230526,-4131,9103,-5062
20230530,-5421,6725,-1126
20230531,467,2202,-2872
20230601,3583,13,-3847
20230602,-5762,3798,2000
20230605,-4345,-230,4528
20230607,-2950,-427,3488
20230608,664,-3833,3186
20230609,-8240,4761,3665
20230612,3459,-3400,-149
20230613,-2491,1370,1338
20230614,393,1126,-1284
20230615,2371,-620,-1905
20230616,-2087,4291,-2144
20230619,4301,-3603,-773
20230620,4083,-2796,-1348
20230621,6208,-1970,-1333
20230622,-1056,-1095,2141
20230623,5962,-1844,-4447
20230626,-2247,125,2298
20230627,587,-1028,161
20230628,3020,-3930,588
20230629,1306,577,-1791
20230630,-702,-1751,2300
20230703,-7503,-148,7711
20230704,2942,-582,-2983
20230705,3213,2569,-6143
20230706,5513,-1664,-4216
20230707,7662,-414,-7651
20230710,3114,-1534,-1901
20230711,-4283,2633,1664
20230712,-2670,2170,284
20230713,-7190,2121,5079
20230714,-13290,6144,7757
20230717,4258,-1684,-2313
20230718,4773,-1561,-3315
20230719,3668,-474,-3257
20230720,1504,1652,-3164
20230721,2812,-2892,154
20230724,4718,-1713,-3046
20230725,13763,-13631,-689
20230726,9932,-9465,-660
20230727,-5071,803,4351
20230728,3921,638,-4565
20230731,3440,-2907,-921
20230801,-5509,1919,3332
20230802,7734,-676,-6866
20230803,8096,-1492,-6659
20230804,4749,-2423,-2352
20230807,281,2830,-3286
20230808,5569,-1397,-4397
20230809,-876,3641,-2943
20230810,2600,-2324,-907
20230811,1829,-1912,-62
20230814,4277,-1184,-3328
20230816,3225,-33,-3582
20230817,861,23,-978
20230818,3583,-1047,-2843
20230821,-113,-343,270
20230822,510,-158,-61
20230823,806,230,-885
20230824,-3953,1095,2936
20230825,3796,-1932,-1762
20230828,-2709,-246,3048
20230829,477,-1610,653
20230830,-1780,-209,1765
20230831,120,-2132,1607
20230901,-1763,3686,-2180
20230904,-3882,4072,-427
20230905,-403,1613,-1505
20230906,3399,-689,-3057
20230907,2470,-35,-2750
20230908,2170,-3542,1083
20230911,-754,221,340
20230912,2197,-2952,544
20230913,-1896,1132,545
20230914,-7110,-5197,12233
20230915,-11277,474,10680
20230918,3915,-3759,-143
20230919,3165,26,-3846
20230920,889,-1663,513
20230921,7681,-666,-7221
20230922,2070,-1253,-979
20230925,466,-1338,699
20230926,4941,-402,-4729
20230927,901,-273,-788
20231004,8327,-4178,-4495
20231005,3190,-2711,-60
20231006,1412,-3254,1771
20231010,-3821,-2086,5898
20231011,-5098,-1209,6222
20231012,-1916,-618,2624
20231013,4221,-1572,-2844
